Team_ID,Team_Name
133,Oakland Athletics
108,Los Angeles Angels
136,Seattle Mariners
135,San Diego Padres
109,Arizona Diamondbacks
145,Chicago White Sox
115,Colorado Rockies
158,Milwaukee Brewers
112,Chicago Cubs
119,Los Angeles Dodgers
140,Texas Rangers
117,Houston Astros
111,Boston Red Sox
147,New York Yankees
143,Philadelphia Phillies
146,Miami Marlins
110,Baltimore Orioles
144,Atlanta Braves
118,Kansas City Royals
116,Detroit Tigers
139,Tampa Bay Rays
141,Toronto Blue Jays
114,Cleveland Guardians
142,Minnesota Twins
137,San Francisco Giants
121,New York Mets
120,Washington Nationals
138,St. Louis Cardinals
134,Pittsburgh Pirates
113,Cincinnati Reds
